2026-02-24 20:02:05,056 INFO    MainThread:83698 [wandb_setup.py:_flush():81] Current SDK version is 0.25.0
2026-02-24 20:02:05,057 INFO    MainThread:83698 [wandb_setup.py:_flush():81] Configure stats pid to 83698
2026-02-24 20:02:05,057 INFO    MainThread:83698 [wandb_setup.py:_flush():81] Loading settings from environment variables
2026-02-24 20:02:05,057 INFO    MainThread:83698 [wandb_init.py:setup_run_log_directory():717] Logging user logs to /home/mk009/DA6401/ae21b036_da6401_assignment-01/src/wandb/run-20260224_200205-xymci35n/logs/debug.log
2026-02-24 20:02:05,057 INFO    MainThread:83698 [wandb_init.py:setup_run_log_directory():718] Logging internal logs to /home/mk009/DA6401/ae21b036_da6401_assignment-01/src/wandb/run-20260224_200205-xymci35n/logs/debug-internal.log
2026-02-24 20:02:05,057 INFO    MainThread:83698 [wandb_init.py:init():844] calling init triggers
2026-02-24 20:02:05,057 INFO    MainThread:83698 [wandb_init.py:init():849] wandb.init called with sweep_config: {}
config: {'dataset': 'mnist', 'epochs': 100, 'batch_size': 64, 'learning_rate': 0.001, 'optimizer': 'momentum', 'num_layers': 2, 'hidden_sizes': [128, 128], 'activation': 'relu', 'loss': 'cross_entropy', 'weight_init': 'random', 'weight_decay': 0.001, 'wandb_project': 'demo', 'save_path': 'models/model', '_wandb': {}}
2026-02-24 20:02:05,057 INFO    MainThread:83698 [wandb_init.py:init():892] starting backend
2026-02-24 20:02:05,270 INFO    MainThread:83698 [wandb_init.py:init():895] sending inform_init request
2026-02-24 20:02:05,272 INFO    MainThread:83698 [wandb_init.py:init():903] backend started and connected
2026-02-24 20:02:05,283 INFO    MainThread:83698 [wandb_init.py:init():973] updated telemetry
2026-02-24 20:02:05,285 INFO    MainThread:83698 [wandb_init.py:init():997] communicating run to backend with 90.0 second timeout
2026-02-24 20:02:06,253 INFO    MainThread:83698 [wandb_init.py:init():1042] starting run threads in backend
2026-02-24 20:02:06,285 INFO    MainThread:83698 [wandb_run.py:_console_start():2524] atexit reg
2026-02-24 20:02:06,285 INFO    MainThread:83698 [wandb_run.py:_redirect():2373] redirect: wrap_raw
2026-02-24 20:02:06,285 INFO    MainThread:83698 [wandb_run.py:_redirect():2442] Wrapping output streams.
2026-02-24 20:02:06,285 INFO    MainThread:83698 [wandb_run.py:_redirect():2465] Redirects installed.
2026-02-24 20:02:06,287 INFO    MainThread:83698 [wandb_init.py:init():1082] run started, returning control to user process
2026-02-24 20:04:16,025 INFO    wandb-AsyncioManager-main:83698 [service_client.py:_forward_responses():134] Reached EOF.
2026-02-24 20:04:16,025 INFO    wandb-AsyncioManager-main:83698 [mailbox.py:close():155] Closing mailbox, abandoning 1 handles.
